id,name,engname,latitude,longitude,add_name,add_names,,,general_description,literary_description,description_of_production,key_persons,facts,summary_description,links,dislocation,type,year_of_creation,year_of_closing,notes,year_of_resuming,year_of_second_closing,,year_of_repeated_resuming,year_of_third_closing,year_of_moving,,second_dislocation,latitude_2,longitude_2,year_of_repeated_moving,,third_dislocation,latitude_3,longitude_3,year_of_third_moving,,fourth_dislocation,latitude_4,longitude_4,date_of_merger_1,new_name,merger_1,date_of_merger_2,new_name_2,merger_2,date_of_merger_23,merger_3,date_of_separation,separation_1,separation_2,separation_3,separation_4,separation_5,separation_6,max_people,,date_if_max_people,people_1923,people_1924,people_1925,people_1926,people_1927,people_1928,people_1929,people_1930,people_1931,people_1932,people_1933,people_1934,people_1935,people_1936,people_1937,people_1938,,people_1939,people_1940,people_1941,,people_1942,,,people_1943,people_1944,people_1945,,people_1946,people_1947,,people_1948,,people_1949,people_1950,people_1951,people_1952,,people_1953,,people_1954,people_1955,people_1956,people_1957,people_1958,people_1959,people_1960,hydro_building,train_building,capital_building,building_plants,highways_building,airfield_building,mining_industry,logging,energy_facilities,agriculture,inning,fuel_industry,photos,video
45,Балахнинский ИТЛ,,56.504556,43.602005,Балахлаг,,,,"Лагерь был организован на месте расформированного нижегорожского ИТЛ. Заключенные были заняты на торфоразработках и в гражданском строительстве
","Лагерь существовал с апреля 1932 г. по февраль 1934 г., его управление находилось в селе Балахна (ныне город Балахна). В лагере содержалось до 6504 заключенных",Торфоразработка и гражданское строительство,,Лагерь был создан взамен расформированного в 1931 г. Нижегородского ИТЛ.                                                           Приказ о закрытии Балахнинского ИТЛ не найден.                                                                Ни один из начальников Балахнинского ИТЛ не проработал более 6 месяцев,,http://www.memo.ru/history/nkvd/Gulag/r3/r3-25.htm,"Нижегородский край, село Балахна (ныне Нижегородская область, город Балахна)",ИТЛ,1932,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6504,,1933,,,,,,,,,,4100,6504,4655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,гражданское строительство,,,,,,,,,торфоразработка ,,
5,Дмитровский ИТЛ,Dmitrovsky CLC,56.34416,37.51999,Дмитлаг,,,,"Один из самых известных и крупных лагерей за всю историю, заключенные которого строили канал ""Москва-Волга""","Дмитровский лагерь существовал с сентября 1932 г. по январь 1938 г., управление лагеря находилось в подмосковном городе Дмитрове. Число заключенных доходило до 193000 человек, строивших канал Москва - Волга, гидроузлы на Волге, Истринскую плотину и ряд других объектов.","Строительство канала Москва—Волга имени И.В.Сталина, а также строительство Северного канала и реконструкция реки Яузы, Истринской плотины, Центрального аэродрома им. Фрунзе в Москве, Сталинской водонасосной станции, лесозаготовки, торфоразработки",патриарх Пимен,"Дмитров был единственным городом по трассе канала, поэтому управление Дмитровского лагеря расположилось в Борисоглебском монастыре, а лагеря расположились вдоль всей трассы канала",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-90.htm,город Дмитров,ИТЛ,1932,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192229,,1935,,,,,,,,,,10400,51502,156319,192229,192034,146920,16068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,канал Москва-Волга; cеверный канал и реконструкция реки Яузы; Истринская плотина,,,,,"аэродром имени Фрунзе в Москве (""Ходынка"")",,,,,,,,
36,Ахунский ИТЛ,,43.550407,39.843266,"Ахунлаг, Охунлаг",,,,"Труд заключенных был подчинен срочной задаче строительства трассы Агура-Охун (Ахун). Строительство начато 2 января 1935 г. и закончено в основном 29 апреля 1935 г., после чего лагерь перестал упоминаться в сводках","Ахунский ИТЛ действовал с декабря 1934 г. по июль 1935 г., его управление дислоцировалось в поселке Ахун (Краснодарский край). В лагере содержалось до 3146 заключенных, строивших шоссе Мацеста - Ахун",Строительство шоссе Мацеста-Ахун,,"Приказа о закрытии не найден;
после июля 1935 г. в сводках не упоминается.                                                      Руководил лагерем Матвеев Владимир Зосимович. После строительство дороги Агура-Ахун руководил лагерем, строившим Норильский комбинат, считается первым директором комбината. Матвеев был арестован в апреле 1938 г. и обвинён во вредительском строительстве комбината и железнодорожной ветки Норильск—Дудинка. После вынесения приговора отбывал срок в Архангельской области, погиб в лагере",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-18.htm,"Азово-Черноморский край (ныне Краснодарский край), местечко Ахун (сейчас Малый Ахун ",ИТЛ,1934,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3146,,1935,,,,,,,,,,,,6000 (на момент открытия),3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,строительство шоссе Мацеста-Ахун,,,,,,,,,
186,Саровский ИТЛ,Sarovsky ITL [Sarovo Corrective Labour Camp],54.925249,43.329017,Саровский ИТЛ,,,,Заключенные Саровского лагеря были заняты на лесозаготовках,"Саровский лагерь действовал с августа 1934 г. по декабрь 1935 г., его управление дислоцировалось в городе Сарове. В лагере содержалось до 3400 заключенных, занятых на лесозаготовках",Лесозаготовки ,,"22.08.1934 лагерь выделен из Темниковского ИТЛ в Саровское ЛО, и реорганизован в самостоятельный ИТЛ",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-298.htm,"Горьковский край, поселок Сарово (в монастыре «Саровская пустынь») (ныне Нижегородская область, город Саров) ",ИТЛ,1934,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3349,,1934,,,,,,,,,,,,3349,2310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Лесозаготовки ,,,,,,
83,Ветлужский ИТЛ,Vetluzhsky CLC,57.03817,44.88143,Ветлаг,,,,"57.050078, 44.895399","Существовал с апреля 1935 г. по август 1937 г.  Занимаемая местность: Горький (центр, ныне Нижний Новгород), станция Сухобезводная Московско-Курской железной дороги (лагерное управление)",,,"Директивных документов о ликвидации и реорганизации Ветлужского ИТЛ не найдено; закрытие лагеря датировано по примечанию к таблицам смертности Учетно-распределительного отдела ГУЛАГа, в котором сказано: «Ветлужский ИТЛ ликвидирован с августа 1937 г. — вошел в Темниковский лагерь"".
Последние данные в сводках Учетно-распределительного отдела ГУЛАГа — на 01.07.1937 г. ИТЛ ликвидирован с 15.08.1937 г.          Профиль производства неизвестен",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-55.htm,"станция Сухобезводное Московско-Курской железной дороги (позднее железная дорога имени Дзержинского), сейчас - поселок городского типа Сухобезводное, городской округ Семёновский, Нижегородская область",ИТЛ,1935,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13888,,1937,,,,,,,,,,,,,9232,13535,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Волжский ИТЛ и Строительство гидротехнических узлов,,58.048454,38.858433,"Волголаг, Волгострой",,,,"Волжский ИТЛ - подразделение Дмитровского лагеря, созданное для строительства Угличского и Рыбинского гидроузлов (Волгострой)","Волжский ИТЛ был открыт в декабре 1935 г., закрыт в марте 1942 г., его управление находилось в поселке Переборы Ярославской области. Число заключенных в нем достигало 87791 человек, занятых в строительстве гидротехнических сооружений на реке Волга, лесозаготовках и в обслуживании промышленных предприятий","Обслуживание работ Волгостроя НКВД, в том числе: строительство Рыбинского, Угличского, Большого Шекснинского гидроузлов, Угличской ГЭС, строительство железнодорожной ветки Углич—Калязин (в том числе железнодорожного моста через реку Волга у Калязина), работы на механическом заводе № 1, строительные работы по расширению литейных цехов завода № 28, строительство бомбоубежищ в городе Ярославль",,"24.02.1942 г. на базе ряда лагерных отделений Волжского ИТЛ организован Рыбинский ИТЛ, которому через месяц переданы все лагерные подразделения ликвидируемого Волжского ИТЛ. Волгострой  сохранен как строительная организация НКВД. Работы Волгостроя продолжали обслуживаться Волжским ИТЛ МВД.                                                 Первоначально строительство Угличского и Рыбинского гидроузлов было поручено Дмитровскому ИТЛ, однако 16.09.1935 г. ГУЛАГу НКВД приказано немедленно приступить к организации самостоятельного Управления строительства и лагеря.                                   Строительство начато «для обеспечения необходимого судоходного подхода к каналу Москва—Волга со стороны реки Волги и для создания водохранилища в районе Молого-Шекснинского междуречья»",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-62.htm,"Ярославская область, Рыбинский район, село Переборы (ныне микрорайон Переборы в городе Рыбинск)",ИТЛ,1935,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87791,,1941,,,,,,,,,,,,,,19420,43566,77345,,74576,63047,87791,,,,,,,,,,,,,,,,,,,,,,,,,,,,"обслуживание работ Волгостроя НКВД, в том числе: строительство Рыбинского, Угличского, Большого Шекснинского гидроузлов, Угличской ГЭС",строительство железнодорожной ветки Углич—Калязин (в том числе железнодорожного моста через реку Волга у Калязина),,"строительные работы по расширению литейных цехов завода № 28, строительство бомбоубежищ в городе Ярославль",,,,,,,,,,
251,Норильский ИТЛ,Norilsky CLC,69.349036,88.201059,"Норильлаг, Норильстрой",,,,"Норильский лагерь - из крупнейших лагерных комплексов ГУЛАГа. Основной задачей лагеря было обеспечение рабочей силой разработок богатейших медно-никелевых руд Норильского района, строительства и обслуживания крупного горно-металлургического комбината, строительства «с нуля» города Норильск, а также освоение всего Норильского промышленного района","Норильский ИТЛ функционировал с июня 1935 г. по август 1956 г., его управление дислоцировалось в городе Норильск. Число заключенных в лагере достигало 72490 человек, строивших Норильский медно-никелевый комбинат, сам город Норильск, рудники, угольные шахты, обслуживавших промышленные предприятия, занятых на геологоразведочных и сельскохозяйственных работах","Строительство и эксплуатация Норильского медно-никелевого комбината и освоение района расположения строительства; строительство города Норильск, строительство рудников «Угольный Ручей» и «Гора Рудная», никелевого, кобальтового и медного заводов, коксохимических батарей, теплоэлектрической станции, водопровода от реки Норилка до озера Долгое с насосной станцией на реке Норилка, жилья, строительство рудника открытых работ «Медвежий Ручей», подземного рудника № 7, 4-й секции Большой обогатительной фабрики, цеха электролиза никеля, реконструкция и расширение кобальтового и медеплавильного заводов, производство никеля, строительство (с 06.1951 г.) и обслуживание Красноярского аффинажного завода (с 14.09.1951 г.), добыча платины, производство электролитического кобальта, добыча слюды на Бирулинском месторождении (Таймыр), строительство и обслуживание Дудинского и Красноярского портов, расширение и реконструкция хлорного цеха завода № 25, выпускающего каустическую соду, строительство Норильской теплоэлектроцентрали, строительство судостроительного завода в Подтесове и речного вокзала в Красноярске, обслуживание судоремонтных мастерских в Игарке, Дудинке, Красноярске, Подтесове и Череди, обслуживание оксиликвитного завода, строительство объектов социально-культурного быта и «реставрация домика, в котором во время ссылки жил товарищ Сталин И.В.» в селе Курейка, обслуживание Горнопромышленного управления № 21 (геологопоисковые, геологоразведочные работы, разведочно-эксплуатационный рудник, с 28.12.1949 г. по 01.10.1952 г.), строительство и обслуживание железной дороги Норильск—Дудинка, строительство и обслуживание угольных шахт, гипсовой шахты, разработка каменно-бутового карьера, добыча известняков в районе станции Коларгон, обслуживание Большой обогатительной фабрикитеплоэлектроцентрали, завода № 26, электроремонтного завода, завода имени Ворошилова в Красноярске, базы Норильскснаба, геологоразведочные работы, строительство и обслуживание авиапорта «Надежда», строительство и обслуживание автодорог, строительство дома отдыха в районе села Атаманово, обслуживание рыбного промышленного хозяйства Норильского комбината, сельскохозяйственные работы, в том числе в селе Курейка и в селе Шушенское","Л.Н. Гумилев - историк-этнолог, археолог, востоковед, писатель, переводчик,   Г.С. Жженов - советский и российский актёр театра и кино. Народный артист СССР (1980),                 А.А. Баландин - советский химик, академик Академии наук СССР (1946). Создатель мультиплетной теории гетерогенного катализа,                                                                  В.М. Беринг - советский инженер-конструктор артиллерийского вооружения,                                                             Б.В. Витман - советский разведчик, строитель, архитектор, изобретатель, спортсмен, художник, журналист, горняк, водный спасатель, лектор,    
А.П. Старостин - советский футболист, защитник. Заслуженный мастер спорта СССР (1940),                        
Н.Н. Урванцев - исследователь Арктики","Главным вопросом был вопрос о соответствии прибывающего контингента требованиям региона. Основное из них — наличие среди этапируемых максимально полноценной рабочей силы, способной адаптироваться к условиям Заполярья: резкое изменчивое давление на небольших отрезках времени, огромной скорости ветра, сопряженные в большинстве случаев с пургами, низкие температуры, высокая влажность воздуха летней тундры, сырость почвы, наличие вечной мерзлоты, долгая полярная ночь.                          Наиболее тяжелым периодом для контингента мест лишения свободы стали годы Великой Отечественной войны. Резко увеличившиеся трудовые нагрузки, сокращение централизованного снабжения и как следствие — уменьшение продовольственного пайка, массовые переброски заключенных приводят к гигантскому росту смертности. Во время Второй мировой войны в Норильском лагере умерло 7,223 человека. Основной причиной смерти было то, что заключённых почти не кормили, а сама еда была без надлежащего количества витаминов.              В годы Великой Отечественной войны Норильский комбинат из-за своего расположения в глубоком тылу приобрел особо приоритетный статус, и были приняты большие усилия, чтобы расширять в Норильске начинавшийся в 1942 г. выпуск никеля",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-257.htm,"Красноярский край, город Норильск",ИТЛ,1935,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72490,,1951,,,,,,,,,,,,,1200,1251,9139,7927,,11560,19500,20535,,23779,,,30757,34570,31822,,33797,37443,,47732,,57463,58651,72490,68849,,67889,,36734,21214,13629,,,,,строительство водопровода от реки Норилка до озера Долгое с насосной станцией на реке Норилка,строительство и обслуживание железной дороги Норильск—Дудинка,"строительство города Норильск, жилья, строительство объектов социально-культурного быта и «реставрация домика, в котором во время ссылки жил товарищ Сталин И.В.» в селе Курейка, дома отдыха в районе села Атаманово","строительство и эксплуатация Норильского медно-никелевого комбината и освоение района расположения строительства; строительство никелевого, кобальтового и медного заводов, 4-й секции Большой обогатительной фабрики, цеха электролиза никеля, реконструкция и расширение кобальтового и медеплавильного заводов, строительство (с 06.1951 г.) и обслуживание Красноярского аффинажного з-да (с 14.09.1951 г.), расширение и реконструкция хлорного цеха завода № 25, выпускающего каустическую соду, строительство судостроительного завода в Подтесове и речного вокзала в Красноярске",строительство и обслуживание автодорог,строительство и обслуживание авиапорта «Надежда»,"строительство рудников «Угольный Ручей» и «Гора Рудная», рудника открытых работ «Медвежий Ручей», подземного рудника № 7, добыча платины, добыча слюды на Бирулинском месторождении (Таймыр), обслуживание Горнопромышленного управления № 21 (геологопоисковые, геологоразведочные работы, разведочно-эксплуатационный рудник, с 28.12.1949 г. по 01.10.1952 г.), добыча известняков в районе станции Коларгон, геологоразведочные работы",,"строительство теплоэлектрической станции,  Норильской теплоэлектроцентрали","сельскохозяйственные работы, в том числе в селе Курейка и в селе Шушенское",,"строительство и обслуживание угольных шахт, гипсовой шахты, разработка каменно-бутового карьера",,
125,Вяземский ИТЛ,Viazemsky CLC,55.205944,34.298037,"Вяземлаг, Управление Строительства и Вяземлага ГУШОСДОРа",,,,Лагерь выполнял задачу строительства важнейшей западной транспортной артерии — трассы Москва-Минск - и полевых аэродромов для нужд военно-воздушных сил Красной Армии,"Вяземский ИТЛ существовал с февраля 1936 г. по июль 1942 г., его управление располагалось до июля 1941 г. в городе Вязьма, затем в селе Николаевка Пензенской области. Заключенные, число которых достигало 56200 человек, до января 1941 г. строили автодорогу Москва - Минск, а позднее ряд аэродромов","Строительство автомагистрали Москва—Минск, строительство аэродромов в Тамбовской и Смоленской области",,"Строительство автомагистрали силами заключенных Вяземского лагеря вело «Управление строительства автомагистрали Москва—Минск НКВД СССР». При этом Вяземский ИТЛ в течение всего этого времени оставался в подчинении ГУЛАГа.                                                                  Весной 1941 г. состоялось решение правительства, согласно которому строительство 200 километров автомагистрали Москва—Минск было перенесено на осень 1942 г.
Главному управлению лагерей железнодорожного строительства поручено переключить Вяземский лагерь на строительство аэродромов.                                В январе 1942 г. ремонтно-восстановительные работы и работы по содержанию дороги Москва—Минск были возобновлены.                                      Колебания численности заключенных в течение года объясняются сезонностью дорожных работ (основные работы приходятся на апрель – сентябрь). После окончания массовых дорожных работ Управление строительством и Вяземский лагерь готовили сводки на «сброс излишней рабочей силы»: лагерю необходимо было отправлять часть заключенных в другие лагеря НКВД ",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-72.htm,"Смоленская область, город Вязьма",ИТЛ,1936,1941,,,,,,,1941,,село Николаевка Пензенской области,52.948103,44.912791,,,,,,,,,,,,,,,,,,,,,,,,,,56180,,1936,,,,,,,,,,,,,,56180,31305,49738,,27470,10394,14374,,8676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,строительство автомагистрали Москва—Минск,строительство аэродромов в Тамбовской и Смоленской области,,,,,,,,
430,ИТЛ по строительству аэродрома,,55.777474,37.526636,,,,,"Фактически лагерь организован не был, его управление 5 сентября 1936 г. включено в состав строительства канала Москва—Волга на правах района","В справочной литературе зарегистрированный лагерь строительства аэродрома существовал с августа по сентябрь 1936 г. и располагался в Московская области, на Хорошевском шоссе, в бывших летних лагерях кавалерийского полка НКВД (ныне - территория Москвы). Однако фактически лагерь не был организован",Строительство аэродрома,,"Фактически лагерь организован не был, его управление 5 сентября 1936 г. включено в состав строительства канала Москва—Волга на правах района",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-168.htm,"Московская область, Хорошевское шоссе, в бывших летних лагерях кавалерийского полка НКВД (ныне - территория Москвы)",ИТЛ,1936,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,строительство аэродрома,,,,,,,,
145,Калужский ИТЛ,Kaluzhsky CLC,54.50694,36.25222,"Калуглаг, 
ИТЛ и строительство автомагистрали Москва-Киев",,,,"Калужский ИТЛ действовал с 1936 по 1938 год, его заключенные строили автомобильную магистраль Москва-Киев.","Калужский ИТЛ функционировал с февраля 1936 по февраль 1938 года, по документам почти ровно два года. Его задачей было обеспечение строительства автомагистрали Москва-Киев рабочей силой, однако завершена автодорога была уже узниками специально созданной Исправительно-трудовой колонии при Отделе мест заключения НКВД по Московской области, уже после 1938 года.",Строительство автомагистрали Москва-Киев,,Строительство автомагистрали силами заключенных Калужского лагеря вело «Управление строительства автомагистрали Москва—Киев НКВД СССР» Главного управления шоссейных дорог,,http://memo.ru/history/nkvd/gulag/r3/r3-184.htm,город Калуга,ИТЛ,1936,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16260,,1936,,,,,,,,,,,,,,16260,13107,5624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Строительство автомагистрали Москва-Киев,,,,,,,,,
62,Тайшетский ИТЛ ГУЛАГа,Taishetsky CLC,55.94054,98.00177,"Тайшетлаг
В 1948 г. - Тайшетстрой",,,,"Исправительно-трудовой лагерь, впервые образованный в городе Тайшет в 1937 году для осуществления лесозаготовок силами заключенных. С перерывами и изменениями характера деятельности лагерников функционировал до 1948 года","Тайшетский ИТЛ был впервые образован в августе 1937 года, тогда его заключенные занимались заготовкой леса для ГУЛАГа НКВД. В таком виде лагерь просуществовал до октября 1939г. В апреле 1943 года на его месте образован новый лагерь (из отделений Южного ИТЛ), подчиненый уже региональному Управлению Исправительно-трудовыми Лагерями и Колониями Управления НКВД по Иркутской области. До закрытия в 1946 году основным занятием заключенных также оставалась древообработка, также они использовались на шоссейном и железнодорожном строительстве. В 1948 году с апреля по сентябрь на том же месте функционировал лагерь под началом Главного Управления Лагерей Железнодорожного Строительства НКВД, однако помимо железнодорожного строительства лагерники также были заняты на строительстве и эксплуатации заводов других отраслевых управлений НКВД. Средняя численность заключенных в лагере за все время составила около 17 тысяч человек.","Лесозаготовки; с 1943 г. сельскохозяйственные и лесозаготовки, железнодорожное и автодорожное строительство, контрагентские работы на Бирюсинском лесозаводе, деревообработка, мебельное, швейное, обувное производства; в 1948 г. - достройка железной дороги Тайшет—Братск, строительство Усольского завода горного оборудования Главспеццветмета, обслуживание ремонтных заводов и мастерских, производство кирпича и извести.",,В 1948 году Тайшетский ИТЛ ГУЛЖДС был объединен с Ангарлагом в единый Ангарский ИТЛ.,,http://www.memo.ru/history/nkvd/Gulag/r3/r3-412.htm ,"Иркутская область, город Тайшет",ИТЛ,1937,1939,,1943,1946,,1948,1948,,,,,,,,,,,,,,,,1946,Братский ИТЛ,Братский ИТЛ,1948,Ангарский ИТЛ,Ангарлаг,,,,,,,,,,24878,,1948,,,,,,,,,,,,,,,,17018,,14365,6759,,,,,,,,16980,,5157,,,24878,,,,,,,,,,,,,,,,,С 1943 г. - железнодорожное строительство; в 1948 г. - достройка железной дороги Тайшет—Братск.,,В 1948 г. - строительство Усольского завода горного оборудования Главспеццветмета.,С 1943 г. - автодорожное строительство.,,,"Лесозаготовки, с 1943 г. контрагентские работы на Бирюсинском лесозаводе, деревообработка, мебельное производство.",,Сельскохозяйственные работы с 1943 года,,,,
174,Локчимский ИТЛ,Lokchimsky CLC,61.851181,51.676045,Локчимлаг,,,,Главной задачей лагеря было освоение новых крупных лесных массивов Вычегодского бассейна,"Локчимский лагерь действовал с августа 1937 г. по август 1940 г., его управление размещалось в поселке Пезмог Коми АССР. В лагере находилось до 26242 заключенных, занятых на лесозаготовках","Лесозаготовительные работы в приписных лесах Коми АССР в верховьях р. Вычегды общей площадью 3463000 гектаров, лесосплав по рекам бассейна Северной Двины и Вычегды",П.В. Цветков - священник,"Лагерные пункты Локчимского лагеря были размещены на территориях Усть-Куломского, Сторожевского, Корткеросского и Сыктывдинского районов по реке Вычегда и ее притокам. Лагерь располагал также двумя пересыльными пунктам (в Сыктывкаре и Котласе), тремя перевалочными базами (в Котласе, Айкино и на станции Мураши), автобазой в Занулье, аэродромами и посадочными площадками. Заключенные вели лесозаготовки в семи лесных дачах, ранее принадлежавших тресту «Комилес».                                        Из-за бесчеловечных условий содержания заключенных только за 1938 г. в Локчимском лагере от голода, болезней и непосильного труда умерли более 4 тысяч заключенных, бежало свыше 600 человек.                                          За время существования Локчимского лагеря в его развитие было вложено 55 миллионов рублей капитальных вложений. В лагере было построено 820 тысяч квадратных метров производственных и жилых помещений, 202 километра лесовозных дорог (автолежневых, тракторных, узкоколейных железных), механизированный парк составляли 285 автомашин и 80 тракторов, 39 единиц мотофлота",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-227.htm,"Коми АССР, Сыктывкарский район, поселок Пезмог (ныне - село Аджером, Корткеросский район, Республика Коми)",ИТЛ,1937,1940,,,,,,,,,,,,,,,,,,,,,,1940,,Устьвымский исправительно-трудовой лагерь,,,,,,,,,,,,,26242,,1938,,,,,,,,,,,,,,,18937,26242,,22585,10 269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"лесозаготовительные работы в приписных лесах Коми АССР в верховьях р. Вычегды общей площадью 3463000 гектаров, лесосплав по рекам бассейна Северной Двины и Вычегды",,,,,,
203,Каргопольский ИТЛ,Kargopolsky CLC,61.50527,38.94722,Каргопольлаг,,,,"Каргопольский ИТЛ функционировал с 1937 по 1960 годы, его заключенные использовались на различных работах, включая лесозаготовки, мелкое производство промтоваров и строительство железных дорог.","Каргопольлаг был организован в августе 1937 года. Основными занятиями его заключенных (до 30 тысяч человек) были лесозаготовки и мелкое швейное, мебельное и обувное производство, кроме того, лагерный контингент использовался на строительстве железнодорожных веток и небольших промышленных предприятий. В 1939-1943 годах более половины населения лагеря составляли политзаключенные, впоследствии их относительная численность сократилась примерно до 30%. Лагерь был закрыт лишь в январе 1960 года, одним из последних исправительно-трудовых лагерей СССР.","Лесозаготовки, строительство целлюлозного завода упрощенного типа на реке Волошка (строительство особой стройки № 5), поставка дров в Москву, заготовка лыжных болванок и изготовление лыж, заготовка леса для нужд восстановительных работ в освобожденных районах, строительство железнодорожных веток, работа в совхозах «Воронино», «Усть-Кубинский», «Каргопольский», рыболовство, мебельное и обувное производства, строительство и обслуживание лесопильного завода, шпалопиление, производство ширпотреба и деревянной клепки, погрузочно-разгрузочные работы, работа в ремонтно-механических мастерских, обслуживание Ерцевской железнодорожной ветки и железнодорожной ветки от станции Пукса, дровозаготовки для паровозов, швейное производство, строительство домостроительного цеха, железных дорог узкой и широкой колеи, автодорог, производство кирпича.","Александр Константинович Гладков (17 (30) марта 1912, Муром, — 11 апреля 1976, Москва) — русский советский драматург и киносценарист. 
Иоанн Крестьянкин - архимандрит 
Михаил Владимирович Пылаев, нижегородский протоиерей
А. Баширов-оглы в 1946 г. написал жалобу Сталину на руководителя Азербайджана Багирова и был отправлен в Каргопольлаг.
","О Каргопольском лагере мир узнал несколько раньше, чем о большинстве других островах архипелага ГУЛАГ. Во время и сразу после Великой Отечественной войны на Запад стали прибывать польские граждане, побывавшие в Каргопольлаге. Они и представили первые обратившие на себя внимание мировой общественности свидетельства. Первым автором лагерных мемуаров на русском языке о Каргопольском лагере (по времени написания и публикации) был гражданин Польши и житель Палестины, случайно оказавшийся в августе-сентябре 1939 года на территории, оккупированной СССР Юлий Борисович Марголин",,http://memo.ru/history/nkvd/gulag/r3/r3-192.htm,"Архангельская область, город Каргополь",ИТЛ,1937,1960,,,,,,,1940,,"Архангельская область, станция Ерцево Северной железной дороги (Архангельская область, Коношский муниципальный район, поселок Ерцево",60.79396,40.09261,,,,,,1942,,,,,,,,,,,,,,,,,,,,30069,,1939,,,,,,,,,,,,,,,,15217,,30069,27432,25218,,18583,,,24892,15758,19125,,17155,,,21239,,,20237,,23305,,25540,,17999,10246,10294,11980,,11447,8354,,Строительство железнодорожных веток,,"Строительство целлюлозного завода упрощенного типа на реке Волошка (строительство особой стройки № 5), строительство и обслуживание лесопильного завода.",,,,"Лесозаготовки, поставка дров в Москву, заготовка леса для нужд восстановительных работ в освобожденных районах, дровозаготовки для паровозов.",,"Работа в совхозах «Воронино», «Усть-Кубинский», «Каргопольский».",,,,
